Found 66 metadata gaps:
Character 'yi_sun_sin' has empty relatedCharacterIds
Character 'heo_jun' has empty relatedCharacterIds
Character 'geunchogo' has empty relatedCharacterIds
Character 'galileo' has empty relatedCharacterIds
Character 'shakespeare' has empty relatedCharacterIds
Character 'gutenberg' has empty relatedCharacterIds
Character 'yu_gwansun' has empty relatedCharacterIds
Character 'choe_museon' has empty relatedLocationIds
Character 'mun_ikjeom' has empty relatedLocationIds
Character 'james_watt' has empty relatedLocationIds
Character 'stephenson' has empty relatedLocationIds
Character 'adam_smith' has empty relatedLocationIds
Character 'adam_smith' has empty relatedCharacterIds
Character 'sohn_kee_chung' has empty relatedCharacterIds
Character 'student_soldier' has empty relatedCharacterIds
Character 'chung_juyoung' has empty relatedCharacterIds
Character 'german_worker' has empty relatedCharacterIds
Character 'democracy_activist' has empty relatedCharacterIds
Character 'it_pioneer' has empty relatedCharacterIds
Character 'son_heungmin' has empty relatedCharacterIds
Character 'bong_joonho' has empty relatedCharacterIds
Character 'red_devils_supporter' has empty relatedCharacterIds
Character 'kpop_trainee' has empty relatedCharacterIds
Character 'han_jinue' has empty relatedCharacterIds
Character 'pureunsol' has empty relatedCharacterIds
Character 'byeolhaneul' has empty relatedCharacterIds
Character 'hanaro' has empty relatedCharacterIds
Character 'youngwon' has empty relatedCharacterIds
Character 'refugee_merchant' has empty relatedCharacterIds
Character 'sewing_worker' has empty relatedCharacterIds
Character 'imf_survivor' has empty relatedCharacterIds
Character 'kim_gu' has empty relatedCharacterIds
Character 'ahn_changho' has empty relatedCharacterIds
Character 'yeo_unhyeong' has empty relatedCharacterIds
Character 'syngman_rhee' has empty relatedCharacterIds
Character 'liu_bei' has empty relatedLocationIds
Character 'zhuge_liang' has empty relatedLocationIds
Character 'guan_yu' has empty relatedLocationIds
Character 'sun_quan' has empty relatedLocationIds
Character 'oda_nobunaga' has empty relatedLocationIds
Character 'toyotomi_hideyoshi' has empty relatedLocationIds
Character 'tokugawa_ieyasu' has empty relatedLocationIds
Character 'uisang' has empty relatedLocationIds
Character 'cheoyong' has empty relatedCharacterIds
Character 'ramesses_ii' has empty relatedCharacterIds
Character 'cleopatra' has empty relatedCharacterIds
Character 'tutankhamun' has empty relatedCharacterIds
Character 'imhotep' has empty relatedCharacterIds
Character 'jang_bogo' has empty relatedCharacterIds
Character 'liu_bei' has empty relatedLocationIds
Character 'zhuge_liang' has empty relatedLocationIds
Character 'guan_yu' has empty relatedLocationIds
Character 'sun_quan' has empty relatedLocationIds
Character 'hwang_jini' has empty relatedCharacterIds
Character 'kim_siseup' has empty relatedCharacterIds
Character 'yu_gwansun' has empty relatedCharacterIds
Location 'incheon_airport' has empty characterIds
Location 'seokguram' has empty characterIds
Location 'haeinsa' has empty characterIds
Location 'ganghwa_island' has empty characterIds
Location 'sambyeolcho_jindo' has empty characterIds
Location 'wuzhang_plains' has empty characterIds
Location 'honno_ji' has empty characterIds
Location 'edo_castle' has empty characterIds
Location 'crystal_palace' has empty characterIds
Location 'steam_factory' has empty characterIds
